98	23	87.79	5504.77	8
12	11	60.71	3456.33	9
115	5	35.18	4251.39	8
62	1	33.54	6867.12	2
89	15	55.31	1200.47	3
102	19	30.61	3158.54	7
129	33	89.4	9725.39	8
39	43	58.26	9103.63	9
44	8	85.62	7967.22	1
20	5	69.15	1734.55	9
141	10	76.86	5224.76	7
47	17	53.64	7017.67	4
37	5	75.68	5437.49	6
97	18	83.48	8563.32	8
38	12	85.48	5195.48	3
62	21	31.41	9801.22	4
69	20	7.82	8009.54	2
73	26	11.06	3700.5	1
97	41	98.25	5614.98	7
131	15	70.48	6506.42	3
4	2	76.74	7430.02	5
136	30	6.95	859.95	4
100	44	26.57	9786.13	6
104	7	72.42	7576.85	10
120	12	85.64	6146.98	3
48	43	63.73	7041.85	6
44	3	56.29	6806.4	4
141	37	8.31	5376.41	1
49	15	24.12	2320.18	9
19	6	48.56	3983.0	1
20	43	51.33	1803.25	2
144	45	33.86	311.68	9
14	16	61.18	1316.04	7
60	12	76.41	9195.82	4
8	14	60.33	3068.9	8
37	47	52.97	1353.83	1
116	24	17.45	2211.08	3
96	31	16.8	7817.29	5
31	44	56.83	9239.87	9
12	34	54.46	7274.13	5
144	18	37.72	6111.47	7
76	41	34.8	5616.28	2
79	40	60.07	7999.68	6
82	35	71.77	6264.48	10
32	37	55.23	8944.73	8
109	49	95.61	1702.26	6
36	25	71.05	8424.0	8
128	26	22.72	2602.26	9
79	23	8.93	4359.61	4
5	35	28.17	7863.82	2
45	18	36.41	9774.66	1
14	46	65.58	8046.79	6
57	35	13.37	7339.32	4
119	32	46.19	8610.9	10
117	2	79.77	4439.33	4
101	15	75.78	5352.71	2
123	35	37.96	4724.29	2
12	25	46.45	232.14	5
112	8	53.16	7553.95	9
120	34	79.62	5320.03	2
