3	36	37.05	829.74	460
47	46	958.48	628.17	120
37	37	710.23	1791.52	17
96	35	232.84	242.88	372
45	3	791.34	1011.34	143
38	14	46.72	1307.23	89
13	34	346.37	453.94	102
40	15	685.68	1790.78	318
50	4	387.83	963.65	426
80	26	950.4	132.83	196
97	31	422.42	385.92	6
34	30	355.74	892.82	264
60	15	682.53	1837.0	437
39	31	60.08	728.76	382
77	19	705.04	526.6	165
91	36	788.21	1327.47	364
33	5	913.18	1027.17	486
52	40	876.75	480.16	259
49	48	83.85	1128.42	139
58	10	355.37	999.54	178
7	11	610.96	1978.27	372
14	19	384.63	144.1	160
56	6	961.17	757.13	217
96	40	471.58	88.11	459
9	10	995.65	895.83	2
70	2	150.68	1649.09	364
58	4	993.34	209.7	164
36	7	313.05	400.15	259
42	41	240.99	715.0	231
96	23	390.16	1492.49	497
79	14	955.49	1092.29	482
90	43	136.11	1983.13	132
87	2	113.92	862.65	27
14	9	827.87	749.44	86
14	13	78.67	520.97	67
51	2	405.64	1903.53	232
80	49	178.64	294.96	327
98	8	677.63	1955.0	134
14	31	827.36	1857.35	118
62	13	693.07	652.68	50
28	21	237.75	598.36	39
75	18	13.75	339.97	249
84	33	619.5	1984.08	415
88	30	383.66	92.5	476
58	34	96.45	112.87	325
51	9	194.64	1747.07	101
62	1	830.92	1210.22	472
64	1	520.24	1232.21	125
82	22	450.11	1953.99	40
66	43	54.03	1256.27	121
15	9	186.22	1052.58	1
74	38	889.43	184.94	346
95	5	744.99	1590.61	372
56	13	940.92	601.03	116
90	5	586.83	1762.27	480
29	23	985.05	508.34	358
19	40	979.4	902.05	178
39	27	17.23	874.5	47
20	45	329.79	638.62	229
65	21	75.25	829.29	400
16	47	966.68	1446.23	290
90	34	463.48	1866.01	256
54	32	721.16	767.96	331
62	30	277.54	106.64	217
86	1	778.18	1453.77	130
55	18	467.32	481.8	279
85	42	493.26	225.59	177
37	6	904.1	1002.02	239
88	30	459.8	743.42	424
60	19	808.11	1471.38	132
96	29	971.09	236.46	207
36	18	139.73	1104.39	263
49	38	585.96	121.89	421
58	28	77.98	1988.44	376
2	41	605.58	244.09	359
50	19	519.89	957.38	453
8	4	30.58	401.59	462
70	21	736.23	50.1	221
76	10	880.89	1338.39	262
14	48	19.98	1260.89	298
3	43	74.34	1576.94	328
83	25	273.35	232.09	98
36	3	758.63	466.45	296
99	26	369.72	1562.03	299
52	10	131.31	1536.98	95
82	4	401.56	1307.47	185
4	40	962.36	1187.07	265
63	14	531.58	572.16	280
1	4	192.33	1208.51	192
26	46	481.61	1024.24	162
82	17	71.12	1436.98	166
59	20	971.54	1086.42	417
89	5	613.3	180.24	272
74	21	459.0	153.13	473
60	50	170.1	1252.36	266
23	27	923.72	256.46	461
18	3	599.61	899.17	307
16	25	332.23	507.23	476
80	35	247.0	997.99	152
5	11	493.57	1709.0	452
96	23	162.97	1108.79	383
25	18	841.25	1754.58	410
69	6	953.33	734.51	437
47	40	394.47	716.9	26
22	47	95.56	1536.08	477
24	6	175.55	1291.38	264
40	33	38.41	1832.5	101
68	35	633.35	1021.04	462
81	35	745.89	1105.88	439
57	34	956.98	551.79	73
42	7	20.92	329.34	451
34	10	442.12	1536.9	40
75	7	224.12	277.53	41
60	7	129.86	548.72	64
93	47	262.58	108.92	108
8	30	169.57	258.43	349
48	27	668.97	1766.95	80
40	17	744.31	253.4	310
32	27	292.11	1154.03	151
49	6	235.3	908.13	108
21	24	123.03	1725.6	259
31	43	581.74	1355.58	179
57	50	636.23	1031.11	336
39	38	527.56	1760.99	35
62	48	643.16	693.33	389
84	32	107.34	117.98	148
83	6	779.72	363.06	357
58	36	912.5	1919.03	341
68	15	904.95	1177.01	398
94	48	57.05	1797.75	85
48	21	310.52	1223.59	406
44	48	212.88	660.04	336
53	7	546.42	1760.97	36
36	36	786.69	659.61	451
93	5	472.58	830.57	376
78	30	807.94	210.09	267
93	14	607.76	1596.09	441
8	37	520.08	874.5	225
61	28	786.2	681.53	138
39	48	355.1	162.29	318
24	38	357.89	1800.13	295
5	45	183.76	516.77	37
9	41	329.18	272.4	40
91	11	942.88	593.24	89
10	11	765.68	1487.83	265
73	30	441.37	736.22	406
84	50	192.54	1928.7	191
20	23	934.92	1076.67	46
36	16	959.71	658.95	298
13	15	177.66	146.24	297
7	48	668.51	1202.5	93
25	1	57.95	632.09	128
99	38	550.99	348.21	55
5	43	266.34	761.33	292
79	13	698.65	1008.84	92
70	1	462.18	1715.04	378
13	25	92.84	1173.42	236
1	26	971.8	1991.14	185
70	24	664.62	788.18	484
70	29	490.91	241.95	251
55	35	373.79	599.75	305
29	14	807.64	637.35	273
47	15	879.79	768.27	462
36	44	503.99	1242.77	317
21	2	735.6	1873.15	189
21	23	995.0	1651.06	413
28	9	385.68	1723.75	148
81	7	292.76	110.19	6
47	22	33.94	768.29	184
80	31	577.39	132.7	374
83	37	926.44	650.52	479
12	7	550.71	709.49	74
21	17	577.27	955.45	45
82	4	143.44	1022.93	308
60	47	366.15	1111.65	83
97	16	755.71	276.64	224
10	29	331.4	1122.49	317
41	2	905.58	1685.13	169
84	13	558.65	1542.66	419
12	20	942.09	1240.95	235
36	34	286.78	877.03	37
46	8	80.04	1483.72	50
94	14	559.16	1459.73	77
100	34	397.49	1795.32	107
21	26	592.27	1350.7	129
81	36	948.96	1212.27	486
95	33	590.97	1368.97	195
32	29	380.74	242.44	378
52	46	670.28	97.47	347
77	30	37.45	1782.55	409
94	2	497.63	198.69	42
29	4	774.95	1207.61	320
76	31	393.66	829.96	7
36	13	646.18	705.3	103
20	48	544.7	770.82	481
77	25	546.5	1468.72	230
52	11	463.52	346.32	294
39	37	373.32	1757.4	325
69	35	950.82	718.21	107
78	48	343.99	1662.95	100
77	50	309.12	1977.94	453
26	35	262.2	880.82	420
7	35	653.73	379.09	227
72	22	648.51	465.8	466
24	26	458.07	304.83	24
16	39	25.33	245.99	8
100	34	864.99	1763.88	83
31	40	920.68	1080.45	107
49	40	704.46	159.63	480
51	35	987.46	605.22	388
61	2	911.2	545.35	156
100	10	20.45	608.99	248
67	2	435.54	1443.78	275
99	49	848.28	938.77	243
17	37	268.69	1907.17	18
3	32	836.76	899.29	102
2	17	711.36	600.58	462
9	47	195.61	1920.84	495
43	27	739.29	43.29	354
76	44	918.66	1134.98	82
4	33	118.85	1592.68	225
38	49	410.77	1716.86	240
67	2	644.63	573.34	318
44	47	476.71	318.21	245
